,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
10,フミ,1913,1910,フミの職業は,フミの職種は,フミは何の仕事をしていますか？フミは,['フミの職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['フミの職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['フミは何の仕事をしていますか？フミは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
11,マサ,1913,1910,マサの職業は,マサの職種は,マサは何の仕事をしていますか？マサは,['マサの職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['マサの職種は、その言葉を持っている。\n\nその言葉を持っている。 その言葉を持っている。 その言葉を持'],['マサは何の仕事をしていますか？マサは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
12,きみ,1913,1910,きみの職業は,きみの職種は,きみは何の仕事をしていますか？きみは,['きみの職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['きみの職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['きみは何の仕事をしていますか？きみは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
13,きよ,1914,1910,きよの職業は,きよの職種は,きよは何の仕事をしていますか？きよは,['きよの職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['きよの職種は、その職種は、その職種は、その職種は、その職種は、その職種は、その職種は、そ'],['きよは何の仕事をしていますか？きよは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
14,キミ,1914,1910,キミの職業は,キミの職種は,キミは何の仕事をしていますか？キミは,['キミの職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['キミの職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['キミは何の仕事をしていますか？キミは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
15,トミ,1914,1910,トミの職業は,トミの職種は,トミは何の仕事をしていますか？トミは,['トミの職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['トミの職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['トミは何の仕事をしていますか？トミは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
16,光子,1914,1910,光子の職業は,光子の職種は,光子は何の仕事をしていますか？光子は,['光子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['光子の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['光子は何の仕事をしていますか？光子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
17,清子,1915,1910,清子の職業は,清子の職種は,清子は何の仕事をしていますか？清子は,['清子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['清子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['清子は何の仕事をしていますか？清子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
18,八重子,1916,1910,八重子の職業は,八重子の職種は,八重子は何の仕事をしていますか？八重子は,['八重子の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、�'],['八重子の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、�'],['八重子は何の仕事をしていますか？八重子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
19,貞子,1916,1910,貞子の職業は,貞子の職種は,貞子は何の仕事をしていますか？貞子は,['貞子の職業は、貞子の職業は、貞子の職業は、貞子の職業は、貞子の職業は、貞子の職業は、�'],['貞子の職種は、貞子の職種は、貞子の職種は、貞子の職種は、貞子の職種は、貞子の職種は、�'],['貞子は何の仕事をしていますか？貞子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
20,愛子,1917,1910,愛子の職業は,愛子の職種は,愛子は何の仕事をしていますか？愛子は,['愛子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['愛子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['愛子は何の仕事をしていますか？愛子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
21,美代子,1917,1910,美代子の職業は,美代子の職種は,美代子は何の仕事をしていますか？美代子は,['美代子の職業は、美代子の職業は、美代子の職業は、美代子の職業は、美代子の職業は、美代子の職�'],['美代子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['美代子は何の仕事をしていますか？美代子は何の仕事をしています。\n\n美代子は何の仕事をしています。\n\n美代子は何の仕事']
22,久子,1918,1910,久子の職業は,久子の職種は,久子は何の仕事をしていますか？久子は,['久子の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['久子の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['久子は何の仕事をしていますか？久子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
23,和子,1919,1910,和子の職業は,和子の職種は,和子は何の仕事をしていますか？和子は,['和子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['和子の職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['和子は何の仕事をしていますか？和子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
24,芳子,1920,1920,芳子の職業は,芳子の職種は,芳子は何の仕事をしていますか？芳子は,['芳子の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['芳子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['芳子は何の仕事をしていますか？芳子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
25,君子,1920,1920,君子の職業は,君子の職種は,君子は何の仕事をしていますか？君子は,['君子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['君子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['君子は何の仕事をしていますか？君子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
26,幸子,1921,1920,幸子の職業は,幸子の職種は,幸子は何の仕事をしていますか？幸子は,['幸子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['幸子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['幸子は何の仕事をしていますか？幸子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
27,敏子,1921,1920,敏子の職業は,敏子の職種は,敏子は何の仕事をしていますか？敏子は,['敏子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['敏子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['敏子は何の仕事をしていますか？敏子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
28,信子,1924,1920,信子の職業は,信子の職種は,信子は何の仕事をしていますか？信子は,['信子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['信子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['信子は何の仕事をしていますか？信子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
29,照子,1926,1920,照子の職業は,照子の職種は,照子は何の仕事をしていますか？照子は,['照子の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['照子の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['照子は何の仕事をしていますか？照子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
30,昭子,1927,1920,昭子の職業は,昭子の職種は,昭子は何の仕事をしていますか？昭子は,['昭子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['昭子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['昭子は何の仕事をしていますか？昭子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
31,節子,1927,1920,節子の職業は,節子の職種は,節子は何の仕事をしていますか？節子は,['節子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['節子の職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['節子は何の仕事をしていますか？節子は何の仕事をしています。\n\n節子は何の仕事をしています。\n\n節子は何の仕事をしてい']
32,典子,1928,1920,典子の職業は,典子の職種は,典子は何の仕事をしていますか？典子は,['典子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['典子の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['典子は何の仕事をしていますか？典子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
33,孝子,1930,1930,孝子の職業は,孝子の職種は,孝子は何の仕事をしていますか？孝子は,['孝子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['孝子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['孝子は何の仕事をしていますか？孝子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
34,美智子,1931,1930,美智子の職業は,美智子の職種は,美智子は何の仕事をしていますか？美智子は,['美智子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業'],['美智子の職種は、その職種です。\n\nその職種は、その職種です。\n\nその職種は、その職種です。\n\n'],['美智子は何の仕事をしていますか？美智子は何の仕事をしています。\n\n美智子は何の仕事をしています。\n\n美智子']
35,洋子,1931,1930,洋子の職業は,洋子の職種は,洋子は何の仕事をしていますか？洋子は,['洋子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['洋子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['洋子は何の仕事をしていますか？洋子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
36,弘子,1932,1930,弘子の職業は,弘子の職種は,弘子は何の仕事をしていますか？弘子は,['弘子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['弘子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['弘子は何の仕事をしていますか？弘子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
37,栄子,1935,1930,栄子の職業は,栄子の職種は,栄子は何の仕事をしていますか？栄子は,['栄子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['栄子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['栄子は何の仕事をしていますか？栄子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
38,良子,1935,1930,良子の職業は,良子の職種は,良子は何の仕事をしていますか？良子は,['良子の職業は、その良子は、その良子は、その良子は、その良子は、その良子は、その良子は、その良子は、その�'],['良子の職種は、その良子は、その良子は、その良子は、その良子は、その良子は、その良子は、その良子は、その�'],['良子は何の仕事をしていますか？良子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
39,京子,1936,1930,京子の職業は,京子の職種は,京子は何の仕事をしていますか？京子は,['京子の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['京子の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['京子は何の仕事をしていますか？京子は何の仕事をしています。\n\n今日は、今日は、今日は、今日は、今日は、今日は、今�']
40,悦子,1936,1930,悦子の職業は,悦子の職種は,悦子は何の仕事をしていますか？悦子は,['悦子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['悦子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['悦子は何の仕事をしていますか？悦子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
41,紀子,1940,1940,紀子の職業は,紀子の職種は,紀子は何の仕事をしていますか？紀子は,['紀子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['紀子の職種は、その職種です。\n\nそれは、その職種は、その職種です。\n\nその職種は、その職種です。'],['紀子は何の仕事をしていますか？紀子は何の仕事をしています。\n\n紀子は何の仕事をしています。\n\n紀子は何の仕事をしてい']
42,恵子,1941,1940,恵子の職業は,恵子の職種は,恵子は何の仕事をしていますか？恵子は,['恵子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['恵子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['恵子は何の仕事をしていますか？恵子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
43,勝子,1942,1940,勝子の職業は,勝子の職種は,勝子は何の仕事をしていますか？勝子は,['勝子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['勝子の職種は、その職種です。\n\nそれは、その職種は、その職種です。\n\nその職種は、その職種です。\n'],['勝子は何の仕事をしていますか？勝子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
44,恵美子,1947,1940,恵美子の職業は,恵美子の職種は,恵美子は何の仕事をしていますか？恵美子は,['恵美子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業'],['恵美子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 �'],['恵美子は何の仕事をしていますか？恵美子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、�']
45,啓子,1948,1940,啓子の職業は,啓子の職種は,啓子は何の仕事をしていますか？啓子は,['啓子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['啓子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['啓子は何の仕事をしていますか？啓子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
46,久美子,1949,1940,久美子の職業は,久美子の職種は,久美子は何の仕事をしていますか？久美子は,['久美子の職業は、その言葉には、その言葉には、その言葉には、その言葉には、その言葉には、その�'],['久美子の職種は、その言葉には、その言葉には、その言葉には、その言葉には、その言葉には、その�'],['久美子は何の仕事をしていますか？久美子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それ']
47,順子,1950,1950,順子の職業は,順子の職種は,順子は何の仕事をしていますか？順子は,['順子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['順子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['順子は何の仕事をしていますか？順子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
48,由美子,1950,1950,由美子の職業は,由美子の職種は,由美子は何の仕事をしていますか？由美子は,['由美子の職業は、職業は、職業は、職業は、職業は、職業は、職業は、職業は、職業は、�'],['由美子の職種は、職種の職種を持つ、職種の職種を持つ、職種の職種を持つ、職�'],['由美子は何の仕事をしていますか？由美子は何の仕事をしています。\n\n私は、今日は、今日は、今日は、今日は、今日']
49,裕子,1955,1950,裕子の職業は,裕子の職種は,裕子は何の仕事をしていますか？裕子は,['裕子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['裕子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['裕子は何の仕事をしていますか？裕子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
50,明美,1957,1950,明美の職業は,明美の職種は,明美は何の仕事をしていますか？明美は,['明美の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['明美の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['明美は何の仕事をしていますか？明美は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
51,智子,1959,1950,智子の職業は,智子の職種は,智子は何の仕事をしていますか？智子は,['智子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['智子の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['智子は何の仕事をしていますか？智子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
52,浩子,1960,1960,浩子の職業は,浩子の職種は,浩子は何の仕事をしていますか？浩子は,['浩子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['浩子の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['浩子は何の仕事をしていますか？浩子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
53,真由美,1961,1960,真由美の職業は,真由美の職種は,真由美は何の仕事をしていますか？真由美は,"['真由美の職業は、英語版です。\n\n英語版は、英語版です。\n\nCopyright © 2017, Yūichi Nakamura. All rights reserved.\n\nCopyright © 2018, Yūichi Nakamura. All rights reserved.\n\nCopyright ©']",['真由美の職種は、英語版です。\n\n英語版は、英語版です。\n\n英語版は、英語版です。\n\n英語版は、英語版で'],['真由美は何の仕事をしていますか？真由美は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、�']
54,由美,1962,1960,由美の職業は,由美の職種は,由美は何の仕事をしていますか？由美は,['由美の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の�'],['由美の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の�'],['由美は何の仕事をしていますか？由美は何の仕事をしています。\n\n私は、今回の言葉を持っています。\n\n私は、今']
55,ゆかり,1964,1960,ゆかりの職業は,ゆかりの職種は,ゆかりは何の仕事をしていますか？ゆかりは,['ゆかりの職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['ゆかりの職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['ゆかりは何の仕事をしていますか？ゆかりは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
56,直美,1965,1960,直美の職業は,直美の職種は,直美は何の仕事をしていますか？直美は,['直美の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の�'],['直美の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の�'],['直美は何の仕事をしていますか？直美は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、']
57,陽子,1966,1960,陽子の職業は,陽子の職種は,陽子は何の仕事をしていますか？陽子は,['陽子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['陽子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['陽子は何の仕事をしていますか？陽子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
58,直子,1970,1970,直子の職業は,直子の職種は,直子は何の仕事をしていますか？直子は,['直子の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['直子の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['直子は何の仕事をしていますか？直子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
59,純子,1971,1970,純子の職業は,純子の職種は,純子は何の仕事をしていますか？純子は,['純子の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['純子の職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['純子は何の仕事をしていますか？純子は何の仕事をしています。\n\n純子は何の仕事をしています。\n\n純子は何の仕事をしてい']
60,恵美,1972,1970,恵美の職業は,恵美の職種は,恵美は何の仕事をしていますか？恵美は,['恵美の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、�'],['恵美の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、�'],['恵美は何の仕事をしていますか？恵美は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それ']
61,美香,1972,1970,美香の職業は,美香の職種は,美香は何の仕事をしていますか？美香は,['美香の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、�'],['美香の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、�'],['美香は何の仕事をしていますか？美香は何の仕事をしています。\n\n美香は何の仕事をしています。\n\n美香は何の']
62,香織,1973,1970,香織の職業は,香織の職種は,香織は何の仕事をしていますか？香織は,['香織の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、�'],['香織の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、�'],['香織は何の仕事をしていますか？香織は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それ']
63,恵,1973,1970,恵の職業は,恵の職種は,恵は何の仕事をしていますか？恵は,['恵の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['恵の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['恵は何の仕事をしていますか？恵は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
64,美穂,1973,1970,美穂の職業は,美穂の職種は,美穂は何の仕事をしていますか？美穂は,['美穂の職業は、美穂の職業は、美穂の職業は、美穂の職業は、美穂の職業は、美�'],['美穂の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の�'],['美穂は何の仕事をしていますか？美穂は何の仕事をしています。\n\n美穂は何の仕事をしています。\n\n美穂は何の']
65,優子,1974,1970,優子の職業は,優子の職種は,優子は何の仕事をしていますか？優子は,['優子の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、�'],['優子の職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['優子は何の仕事をしていますか？優子は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
66,美紀,1975,1970,美紀の職業は,美紀の職種は,美紀は何の仕事をしていますか？美紀は,['美紀の職業は、美紀の職業は、美紀の職業は、美紀の職業は、美紀の職業は、美�'],['美紀の職種は、美紀の職種は、美紀の職種は、美紀の職種は、美紀の職種は、美�'],['美紀は何の仕事をしていますか？美紀は何の仕事をしています。\n\n美紀は何の仕事をしています。\n\n美紀は何の']
67,裕美,1976,1970,裕美の職業は,裕美の職種は,裕美は何の仕事をしていますか？裕美は,['裕美の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['裕美の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['裕美は何の仕事をしていますか？裕美は何の仕事をしています。\n\n？裕美は何の仕事をしています。\n\n？裕美は�']
68,めぐみ,1976,1970,めぐみの職業は,めぐみの職種は,めぐみは何の仕事をしていますか？めぐみは,['めぐみの職業は、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、'],['めぐみの職種は、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、'],['めぐみは何の仕事をしていますか？めぐみは何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それ']
