,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
10,フミ,1913,1910,フミの職業は,フミの職種は,フミは何の仕事をしていますか？フミは,['フミの職業はメイド で、メイド服を着ている。 フミの職業は メイド で、メイド服を着ている。 フミの職業は メイド で、メイド服を着ている。 フミの職業は メイド で、メイド服を着ている。 フミの職業は メイド で、メイド'],['フミの職種はフミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フミの職種 フ'],['フミは何の仕事をしていますか?フミは何の仕事をしていますか? フミは 何の仕事をしていますか? フミは 何の仕事をしていますか? フミは 何の仕事をしていますか? フミは 何の仕事をしていますか? フミは 何の仕事をしていますか']
11,マサ,1913,1910,マサの職業は,マサの職種は,マサは何の仕事をしていますか？マサは,['マサの職業は” 探偵 ” 。 探偵事務所の所長。 マサは探偵事務所の所長として、依頼人の悩みを解決する。 マサは探偵事務所の所長として、依頼人の悩みを解決する。 マサは探偵事務所の所長として、依頼人の悩みを解決する。 マサは探偵事務所の所長として、依頼人の悩みを'],['マサの職種は” 営業 ” である。 マサは、営業職として、 ” 営業 ” を ” 営業 ” と ” 営業 ” の ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ”'],['マサは何の仕事をしていますか?マサは何をしていますか? マサは 何をしていますか? マサは 何をしていますか? マサは 何をしていますか? マサは 何をしていますか? マサは 何をしていますか? マサは 何をしていますか? マサ']
12,きみ,1913,1910,きみの職業は,きみの職種は,きみは何の仕事をしていますか？きみは,['きみの職業は? 』は、nhk教育テレビジョンのプチプチ・アニメの枠で放送された、1話5分の日本のテレビアニメ。 放送期間は2008年4月5日から6月28日まで。 放送回数は全12回。 主人公・小鳥遊 まどかは、お菓子作りが得意な女の子。 まどかは、お菓子作り'],['きみの職種は何だと思う? 」 と聞かれた。 自分の仕事は 何だと思う? 」と聞かれた。 自分の仕事は 何だと思う? 」と聞かれた。 自分の仕事は 何だと思う? 」と聞かれた。 自分の仕事は 何だと思う? 」と聞かれた。 自分の仕事'],['きみは何の仕事をしていますか?きみは何の仕事をしていますか? _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ']
13,きよ,1914,1910,きよの職業は,きよの職種は,きよは何の仕事をしていますか？きよは,['きよの職業は探偵 探偵事務所 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵 探偵'],['きよの職種は1 つだけ。 1 つの仕事は、1 つの仕事の 1 つを 1 つに分解して、その仕事の 1 つを 1 つに分解して、その仕事の 1 つを 1 つに分解して、その仕事の 1 つを 1 つ'],['きよは何の仕事をしていますか?きよは何の仕事をしていますか? きよは 何の仕事をしていますか? きよは 何の仕事をしていますか? きよは 何の仕事をしていますか? きよは 何の仕事をしていますか? きよは 何の仕事をしていますか? きよは 何の']
14,キミ,1914,1910,キミの職業は,キミの職種は,キミは何の仕事をしていますか？キミは,['キミの職業は?????????????????????????????????????'],['キミの職種は俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きなこと 俺の好きな'],['キミは何の仕事をしていますか?キミは何の仕事をしていますか? キミは 何の仕事をしていますか? キミは 何の仕事をしていますか? キミは 何の仕事をしていますか? キミは 何の仕事をしていますか? キミは 何の仕事をしていますか']
15,トミ,1914,1910,トミの職業は,トミの職種は,トミは何の仕事をしていますか？トミは,['トミの職業はトミの母親が 作ってくれた 料理を 作って 食べること。 トミの母親が 作ってくれた 料理を 作って 食べること。 トミの母親が 作ってくれた 料理を 作って 食べること。 トミの母親が 作ってくれた 料理を '],['トミの職種は1 年ごとに交代する。 トミは、 1 年ごとに、 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 つの 1 '],['トミは何の仕事をしていますか?トミは何を しているのですか? トミは 何を しているのですか? トミは 何を しているのですか? トミは 何を しているのですか? トミは 何を しているのですか? トミは 何を しているのですか']
16,光子,1914,1910,光子の職業は,光子の職種は,光子は何の仕事をしていますか？光子は,['光子の職業は光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は 光子の職業は'],['光子の職種は光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種 光子の職種'],['光子は何の仕事をしていますか?光子は何をしていますか? 光子 私は 何をしていますか? 光子 私は 何をしていますか? 光子 私は 何をしていますか? 光子 私は 何をしていますか? 光子 私は 何をしていますか? ']
17,清子,1915,1910,清子の職業は,清子の職種は,清子は何の仕事をしていますか？清子は,['清子の職業は看護師 で、 看護師 として 病院 で働いています。 看護師 として 病院 で働いていますが、 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として 看護師 として'],['清子の職種は女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 女官 '],['清子は何の仕事をしていますか?清子は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? ']
18,八重子,1916,1910,八重子の職業は,八重子の職種は,八重子は何の仕事をしていますか？八重子は,['八重子の職業は美容師 で、美容室のオーナーをしています。 八重子は、美容室のオーナーをしていますが、美容室のオーナーは、美容師の免許を持っていないので、美容室のオーナーは、美容師の免許を持っていないので、美容室のオーナーは、美容師の免許を持っていないので、美容室の'],['八重子の職種は秘書 で、八重子の秘書は 秘書室 で、八重子の秘書は 秘書室 で、八重子の秘書は 秘書室 で、八重子の秘書は 秘書室 で、八重子の秘書は 秘書室 で、八重子の秘書は 秘書室 で、八重子の秘書は 秘書室 で、'],['八重子は何の仕事をしていますか?八重子は何をしていますか? 八重子 私は、今、 何をしていますか? 私は、 何をしていますか? 八重子 私は、 何をしていますか? 私は、 何をしていますか? 八重子 私は、 何をしていますか?']
19,貞子,1916,1910,貞子の職業は,貞子の職種は,貞子は何の仕事をしていますか？貞子は,['貞子の職業は探偵 。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 探偵事務所の所長である。 '],['貞子の職種は女官 である。 貞子は、女官として、女官として、そして女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、女官として、'],['貞子は何の仕事をしていますか?貞子は何の仕事をしていますか? 貞子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 貞子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 貞子 私は 何の仕事をしていますか? ']
20,愛子,1917,1910,愛子の職業は,愛子の職種は,愛子は何の仕事をしていますか？愛子は,['愛子の職業は看護師 。 愛子は、看護師として働きながら、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし'],['愛子の職種は看護師 で、 看護師 として 病院 で働いています。 愛子 は 看護師 として 病院 で働いていますが、 看護師 として 病院 で働いていても 看護師 として 病院 で働いていても 看護師 として 病院 で働いていても 看護師 として 病院 で働いて'],['愛子は何の仕事をしていますか?愛子は何の仕事をしていますか? 愛子さんは 何の仕事をしていますか? 愛子さんは 何の仕事をしていますか? 愛子さんは 何の仕事をしていますか? 愛子さんは 何の仕事をしていますか? 愛子さんは 何の']
21,美代子,1917,1910,美代子の職業は,美代子の職種は,美代子は何の仕事をしていますか？美代子は,['美代子の職業は美容師 で、美代子は 美容師 の免許を持っている。 美代子は 美代子 の母親 で、美代子は 美代子 の姉 で、美代子は 美代子 の姉 で、美代子は 美代子 の姉 で、美代子は '],['美代子の職種は美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美代子の職種は 美'],['美代子は何の仕事をしていますか?美代子は何の仕事をしていますか? 美代子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 美代子 私は 何の仕事をしていますか? 美代子 私は 何の仕事をしていますか? 美代子 私は']
22,久子,1918,1910,久子の職業は,久子の職種は,久子は何の仕事をしていますか？久子は,['久子の職業は看護師 で、 看護師 として 病院に勤務している 久子 は、 看護師 として 病院に勤務している 久子 は、 看護師 として 病院に勤務している 久子 は、 看護師 として 病院に勤務している 久子 は、 看護師 として 病院に勤務している 久子 は、'],['久子の職種は1 つだけ。 久子は、 1 つだけ。 久子は、 1 つだけ。 久子は、 1 つだけ。 久子は、 1 つだけ。 久子は、 1 つだけ。 久子は、 1 つだけ。 久子は、 1 つだけ'],['久子は何の仕事をしていますか?久子は何をしていますか? 久子 私は 何をしていますか? 私は 何をしていますか? 久子 私は 何をしていますか? 私は 何をしていますか? 久子 私は 何をしていますか? 私は 何をしています']
23,和子,1919,1910,和子の職業は,和子の職種は,和子は何の仕事をしていますか？和子は,['和子の職業は看護師 で、 看護師 として 病院に勤務している 和子 は、 看護師 として 病院に勤務している 和子 は、 看護師 として 病院に勤務している 和子 は、 看護師 として 病院に勤務している 和子 は、 看護師 として 病院に勤務している 和子 は、'],['和子の職種は和子 の「和」と 和子 の「子」から 和子 と 和子 の「子」から 和子 と 和子 の「子」から 和子 と 和子 の「子」から 和子 と 和子 の「子」から '],['和子は何の仕事をしていますか?和子は何の仕事をしていますか? 和子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 和子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 和子 私は 何の仕事をしていますか? ']
24,芳子,1920,1920,芳子の職業は,芳子の職種は,芳子は何の仕事をしていますか？芳子は,['芳子の職業は看護師 。 芳子は、看護師として働きながら、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし、看護師としての経験をいかし'],['芳子の職種は1 つだけ。 芳子は、 1 つだけ。 芳子は、 1 つだけ。 芳子は、 1 つだけ。 芳子は、 1 つだけ。 芳子は、 1 つだけ。 芳子は、 1 つだけ。 芳子は、 1 つだけ'],['芳子は何の仕事をしていますか?芳子はあなたの 仕事は 何ですか? 私は あなたの 仕事は 何ですか? 私は あなたの 仕事は 何ですか? 私は あなたの 仕事は 何ですか? 私は あなたの 仕事は 何ですか? 私は あなたの 仕事は 何']
25,君子,1920,1920,君子の職業は,君子の職種は,君子は何の仕事をしていますか？君子は,['君子の職業は何だ? 」 と尋ねると、 君子は「 私は 何を しているの? 」と 尋ねると、 君子は「 私は 何を しているの? 」と 尋ねると、 君子は「 私は 何を しているの? 」と 尋ねると、 '],['君子の職種は君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は 君子の仕事は'],['君子は何の仕事をしていますか?君子は何の仕事をしていますか? 君子は何の仕事をしていますか?君子は 何の仕事をしていますか? 君子は何の仕事をしていますか?君子は 何の仕事をしていますか? 君子は何の仕事をしていますか?君子は 何の仕事をしていますか?']
26,幸子,1921,1920,幸子の職業は,幸子の職種は,幸子は何の仕事をしていますか？幸子は,['幸子の職業は看護師 で、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているの'],['幸子の職種は秘書 で、幸子には秘書としての仕事がある。 幸子は、幸子の仕事の手伝いをしたり、幸子の仕事を手伝ったりする。 幸子は、幸子の仕事の手伝いをしたり、幸子の仕事を手伝ったりする。 幸子は、幸子の仕事を手伝ったり、幸子の仕事を手伝ったりする。 幸子は'],['幸子は何の仕事をしていますか?幸子は幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子 と 幸子']
27,敏子,1921,1920,敏子の職業は,敏子の職種は,敏子は何の仕事をしていますか？敏子は,['敏子の職業は看護師 で、 敏子の夫は 看護師 で、 敏子の夫は 看護師 で、 敏子の夫は 看護師 で、 敏子の夫は 看護師 で、 敏子の夫は 看護師 で、 敏子の夫は 看護師 で、 敏子の夫は 看護師 で、'],['敏子の職種は秘書 である。 敏子には、秘書としての仕事の他に、敏子自身が秘書として仕事をしているという、もう一つの仕事がある。 敏子の仕事は、秘書としての仕事と、敏子自身が秘書として仕事をしているという、二つの仕事がある。 敏子の仕事は、秘書としての仕事と、敏子自身が秘書として仕事をしているという、二つの仕事がある'],['敏子は何の仕事をしていますか?敏子は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
28,信子,1924,1920,信子の職業は,信子の職種は,信子は何の仕事をしていますか？信子は,['信子の職業は看護師 で、看護師の免許を持っているので、看護師として働いています。 信子は、看護師として働いていますが、看護師として働いていたのは、信子だけでした。 信子は、看護師として働いていましたが、看護師として働いていたのは、信子だけでした。 信子は、看護師として働いていましたが、看護師として働いていた'],['信子の職種は信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しんこ) 信子(しん'],['信子は何の仕事をしていますか?信子は何をしていますか? 信子 私は 何をしていますか? 私は 何をしていますか? 信子 私は 何をしていますか? 私は 何をしていますか? 信子 私は 何をしていますか? 私は 何をしています']
29,照子,1926,1920,照子の職業は,照子の職種は,照子は何の仕事をしていますか？照子は,['照子の職業は看護師 で、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているの'],['照子の職種は秘書 で、照子には 秘書 としての仕事がある。 照子には 秘書 としての仕事がある。 照子には 秘書 としての仕事がある。 照子には 秘書 としての仕事がある。 照子には 秘書 としての仕事がある。 照子には 秘書 としての仕事がある。 照子には '],['照子は何の仕事をしていますか?照子は何をしていますか? 照子 私は 何をしていますか? 照子 私は 何をしていますか? 照子 私は 何をしていますか? 照子 私は 何をしていますか? 照子 私は 何をしていますか? ']
30,昭子,1927,1920,昭子の職業は,昭子の職種は,昭子は何の仕事をしていますか？昭子は,['昭子の職業は看護師 で、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているの'],['昭子の職種は秘書 である。 昭子には、秘書としての仕事の他に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、'],['昭子は何の仕事をしていますか?昭子は何の仕事をしていますか? 昭子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 昭子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 昭子 私は 何の仕事をしていますか? ']
31,節子,1927,1920,節子の職業は,節子の職種は,節子は何の仕事をしていますか？節子は,['節子の職業は料理人 。 料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は、料理の腕前は'],['節子の職種は女中 で、その娘は 節子 と名乗った。 節子は 女中 として 奉公に出ていたが、 節子が 奉公に出ていた 間、 節子は 女中 として 奉公に出ていた。 節子は 女中 として 奉公に出ていたが、 節子が 奉公に出ていた '],['節子は何の仕事をしていますか?節子は何の仕事をしていますか? 節子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 節子 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 節子 私は 何の仕事をしていますか? ']
32,典子,1928,1920,典子の職業は,典子の職種は,典子は何の仕事をしていますか？典子は,['典子の職業は看護師 で、看護師の免許を持っている。 典子には、看護師として働いていた頃に、看護師の友達がいて、その友達が看護師の友達と付き合っているのを、典子が知った。 典子は、友達の友達が看護師の友達と付き合っているのを、友達が看護師の友達と付き合っているのを、'],['典子の職種は秘書 である。 典子には、秘書としての仕事の他に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、 秘書としての仕事とは別に、'],['典子は何の仕事をしていますか?典子は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
33,孝子,1930,1930,孝子の職業は,孝子の職種は,孝子は何の仕事をしていますか？孝子は,['孝子の職業は看護師 で、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているの'],['孝子の職種は(し) である。 孝子は、(し) の漢字を常用する。 孝子は、(し) の漢字を常用する。 孝子は、(し) の漢字を常用する。 孝子は、(し) の漢字を常用する。 孝子は、(し'],['孝子は何の仕事をしていますか?孝子は何をしていますか? 孝子 私は 何をしていますか? 孝子 私は 何をしていますか? 孝子 私は 何をしていますか? 孝子 私は 何をしていますか? 孝子 私は 何をしていますか? ']
34,美智子,1931,1930,美智子の職業は,美智子の職種は,美智子は何の仕事をしていますか？美智子は,['美智子の職業は美容師 。 美智子には、美智子の秘密があった。 美智子は、美智子の秘密を知ってしまった。 美智子は、美智子の秘密を知っている。 美智子は、美智子の秘密を知っている。 美智子は、美智子の秘密を知っている。 美智子は、美智子の秘密'],['美智子の職種は美智子 の「美智子」の部分を「美智子」と読む。 美智子 は、美智子 の「美智子」の部分を「美智子」と読む。 美智子 は、美智子 の「美智子」の部分を「美智子」と読む'],['美智子は何の仕事をしていますか?美智子は何の仕事をしていますか? 美智子 私は 何の仕事をしていますか? 美智子 私は 何の仕事をしていますか? 美智子 私は 何の仕事をしていますか? 美智子 私は 何の仕事をしていますか? 美']
35,洋子,1931,1930,洋子の職業は,洋子の職種は,洋子は何の仕事をしていますか？洋子は,['洋子の職業は看護師 で、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているので、 看護師の免許を持っているの'],['洋子の職種は洋子 のページにあります。 洋子 のページにあります。 洋子 のページにあります。 洋子 のページにあります。 洋子 のページにあります。 洋子 のページにあります。 洋子 のページにあります。 洋子 のページにあります。 洋子'],['洋子は何の仕事をしていますか?洋子は何の仕事をしていますか? 洋子 私は 何の仕事をしていますか? 洋子 私は 何の仕事をしていますか? 洋子 私は 何の仕事をしていますか? 洋子 私は 何の仕事をしていますか? 洋子 私は 何の']
