,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
10,正二,1913,1910,正二の職業は,正二の職種は,正二は何の仕事をしていますか？正二は,['正二の職業は                                     '],['正二の職種は陸軍の歩兵部隊である歩兵部隊(歩兵部隊)の指揮官である。 歩兵部隊指揮官は、歩兵部隊指揮官の職種のうち、歩兵部隊指揮官の職種のうち、歩兵部隊指揮官の職種のうち、歩兵部隊指揮官の職種のうち、歩兵部隊指揮官の職種のうち、歩兵部隊指揮官の職種のうち、歩兵部隊指揮官の職'],['正二は何の仕事をしていますか?正二は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
11,義雄,1913,1910,義雄の職業は,義雄の職種は,義雄は何の仕事をしていますか？義雄は,['義雄の職業は大工 で、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟'],['義雄の職種は陸軍歩兵少尉 で、義雄は陸軍歩兵少尉として陸軍歩兵学校に入校した。 義雄は陸軍士官学校に入校した。 義雄は陸軍士官学校に入校した。 義雄は陸軍士官学校に入校した。 義雄は陸軍士官学校に入校した。 義雄は陸軍士官学校に入校した。 義雄は陸軍士官学校に入校した'],['義雄は何の仕事をしていますか?義雄は何を しているのですか? 義雄は 何を しているのですか? 義雄は 何を しているのですか? 義雄は 何を しているのですか? 義雄は 何を しているのですか? 義雄は 何を しているのですか']
12,正男,1913,1910,正男の職業は,正男の職種は,正男は何の仕事をしていますか？正男は,['正男の職業は警察官 で、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て、 警察官の制服を着て'],['正男の職種は弁護士 である。 弁護士は、弁護士会が定める弁護士資格の要件を満たし、弁護士会が定める弁護士会会則に定める弁護士資格の要件を満たした者をいう。 弁護士会は、弁護士会則に定める弁護士資格の要件を満たした者について、弁護士会会則第3条に定める弁護士会会則第4条に定める弁護士'],['正男は何の仕事をしていますか?正男は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? ']
13,正三,1914,1910,正三の職業は,正三の職種は,正三は何の仕事をしていますか？正三は,['正三の職業は大工 で、大工の棟梁として、また、大工の棟梁として、大工の棟梁として、また、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、'],['正三の職種は陸軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣'],['正三は何の仕事をしていますか?正三は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか?']
14,勇,1914,1910,勇の職業は,勇の職種は,勇は何の仕事をしていますか？勇は,['勇の職業は” 探偵 ” である。 勇は、探偵事務所の所長である。 勇は、探偵事務所の所長である。 勇は、探偵事務所の所長である。 勇は、探偵事務所の所長である。 勇は、探偵事務所の所長である。 勇は、探偵事務所の所長である。 勇は、探偵事務所'],['勇の職種は剣の達人 である。 勇は、剣の達人 である。 勇は、剣の達人 である。 勇は、剣の達人 である。 勇は、剣の達人 である。 勇は、剣の達人 である。 勇は、剣の達人 である。 '],['勇は何の仕事をしていますか?勇は何を しているのですか? 勇は 何を しているのですか? 勇は 何を しているのですか? 勇は 何を しているのですか? 勇は 何を しているのですか? 勇は 何を しているのですか? 勇は 何を']
15,実,1914,1910,実の職業は,実の職種は,実は何の仕事をしていますか？実は,['実の職業は警察官 で、 警察官の制服を着て、 警察官の制服をまとって、 警察官の制服をまとって、 警察官の制服をまとって、 警察官の制服をまとって、 警察官の制服をまとって、 警察官の制服をまとって、 警察官の制服をまとって、 '],['実の職種はweb デザイナー です。 web デザイナー は、web サイトの構築や更新、デザイン、コーディング、システム開発などを行う仕事です。 web デザイナー は、web サイトの構築や更新、デザイン、コーディング、システム開発などを行う仕事です。 web デザイナー は、web サイトの構築や更新'],['実は何の仕事をしていますか?実は” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ” ”']
16,秀雄,1914,1910,秀雄の職業は,秀雄の職種は,秀雄は何の仕事をしていますか？秀雄は,['秀雄の職業は探偵 。 探偵事務所の所長。 探偵事務所の所長は、探偵事務所の所長が探偵事務所の所長である場合と、探偵事務所の所長が探偵事務所の所長である場合とがある。 探偵事務所の所長は、探偵事務所の所長が探偵事務所の所長である場合と、探偵事務所の所長が探偵事務所の所長である'],['秀雄の職種は1 から 5 までの数字を並べて、その数字が何であるかを判定する。 秀雄は、数字が何であるかを判定する。 秀雄は、数字が何であるかを判定する。 秀雄は、数字が何であるかを判定する。 秀雄は、数字が何であるか'],['秀雄は何の仕事をしていますか?秀雄は何をしていますか? 秀雄は 何をしていますか? 秀雄は 何をしていますか? 秀雄は 何をしていますか? 秀雄は 何をしていますか? 秀雄は 何をしていますか? 秀雄は ']
17,辰雄,1916,1910,辰雄の職業は,辰雄の職種は,辰雄は何の仕事をしていますか？辰雄は,['辰雄の職業は大工 で、辰雄は 大工 の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工の棟梁 として、大工'],['辰雄の職種は陸軍の歩兵科 陸軍の騎兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 陸軍の輜重兵科 '],['辰雄は何の仕事をしていますか?辰雄は何をしていますか? 辰雄は 何をしていますか? 辰雄は 何をしていますか? 辰雄は 何をしていますか? 辰雄は 何をしていますか? 辰雄は 何をしていますか? 辰雄は ']
18,辰男,1916,1910,辰男の職業は,辰男の職種は,辰男は何の仕事をしていますか？辰男は,['辰男の職業は大工 で、大工の棟梁として 辰男 は、大工の棟梁として 辰男 は、大工の棟梁として 辰男 は、大工の棟梁として 辰男 は、大工の棟梁として 辰男 は、大工の棟梁として 辰男 は、大工の棟梁'],['辰男の職種は大工 だった。 辰男の家は、大工の棟梁が代々、辰男に仕事を任じてきた。 辰男の父は、大工の棟梁だった。 辰男も、大工の棟梁だった。 辰男の父は、大工の棟梁だった。 辰男の母は、大工の棟梁だった。 辰男'],['辰男は何の仕事をしていますか?辰男は何をしていますか? 辰男 僕は 何をしていますか? 僕は 何をしていますか? 辰男 僕は 何をしていますか? 僕は 何をしていますか? 辰男 僕は 何をしていますか? 僕']
19,博,1917,1910,博の職業は,博の職種は,博は何の仕事をしていますか？博は,['博の職業は探偵 である。 博は、探偵事務所の所長である。 博は、探偵事務所の所長である。 探偵事務所の所長である博は、探偵事務所の所長である。 探偵事務所の所長である博は、探偵事務所の所長である。 探偵事務所の所長である博は、探偵事務所の所長である。 探偵事務所の所長'],['博の職種は博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種 博の職種'],['博は何の仕事をしていますか?博は何の仕事をしていますか? 博は 何の仕事をしていますか? 博は 何の仕事をしていますか? 博は 何の仕事をしていますか? 博は 何の仕事をしていますか? 博は 何の仕事をしていますか? 博は 何の']
20,弘,1919,1910,弘の職業は,弘の職種は,弘は何の仕事をしていますか？弘は,['弘の職業は警察官 。 警察官として、事件を解決していく。 弘は、警察官として、事件を解決していく。 弘は、警察官として、事件を解決していく。 弘は、警察官として、事件を解決していく。 弘は、警察官として、事件を解決していく。 弘は、警察官として、事件を解決していく。 弘'],['弘の職種は(し) (し) (し) (し) (し) (し) (し) (し) (し) (し) (し) (し) (し) (し) (し)'],['弘は何の仕事をしていますか?弘は何の仕事をしていますか? 弘は 何の仕事をしていますか? 弘は 何の仕事をしていますか? 弘は 何の仕事をしていますか? 弘は 何の仕事をしていますか? 弘は 何の仕事をしていますか? 弘は 何の']
21,進,1923,1920,進の職業は,進の職種は,進は何の仕事をしていますか？進は,['進の職業は警察官 で、 進の家族は 警察官 の家族 である。 進は 進の家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の 家族 の'],['進の職種は陸軍 陸軍航空隊 陸軍航空士官学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍航空学校 陸軍'],['進は何の仕事をしていますか?進は何の仕事をしていますか? 進は 何の仕事をしていますか? 進は 何の仕事をしていますか? 進は 何の仕事をしていますか? 進は 何の仕事をしていますか? 進は 何の仕事をしていますか? 進は 何の']
22,武,1924,1920,武の職業は,武の職種は,武は何の仕事をしていますか？武は,['武の職業は武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は 武の職業は'],['武の職種は武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種 武の職種'],['武は何の仕事をしていますか?武は何の仕事をしていますか? 武は 何の仕事をしていますか? 武は 何の仕事をしていますか? 武は 何の仕事をしていますか? 武は 何の仕事をしていますか? 武は 何の仕事をしていますか? 武は 何の']
23,一男,1926,1920,一男の職業は,一男の職種は,一男は何の仕事をしていますか？一男は,['一男の職業は警察官 で、 警察官の制服は 警察官の制服 で、 警察官の制服は 警察官の制服 で、 警察官の制服は 警察官の制服 で、 警察官の制服は 警察官の制服 で、 警察官の制服は 警察官の制服 で、 警察官の制服は 警察官の制服 で'],['一男の職種は弁護士 弁護士の職種は、弁護士の職種一覧を参照。 弁護士の職種は、弁護士の職種一覧を参照。 弁護士の職種は、弁護士の職種一覧を参照。 弁護士の職種は、弁護士の職種一覧を参照。 弁護士の職種は、弁護士の職種一覧を参照。 弁護士の職種は、弁護士の職'],['一男は何の仕事をしていますか?一男は何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? 私は 何の仕事をしていますか? ']
24,昭二,1927,1920,昭二の職業は,昭二の職種は,昭二は何の仕事をしていますか？昭二は,['昭二の職業は探偵 で、探偵事務所の所長をしている。 探偵事務所の所長は、探偵事務所の所長が探偵事務所の所長である場合と、探偵事務所の所長が探偵事務所の所長である場合とがある。 探偵事務所の所長は探偵事務所の所長が探偵事務所の所長である場合と探偵事務所の所長が探偵事務所の所長である場合'],['昭二の職種は陸軍大臣秘書官 海軍大臣秘書官 陸軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍'],['昭二は何の仕事をしていますか?昭二は何を しているのですか? 昭二は 何を しているのですか? 昭二は 何を しているのですか? 昭二は 何を しているのですか? 昭二は 何を しているのですか? 昭二は 何を しているのですか']
25,昭,1927,1920,昭の職業は,昭の職種は,昭は何の仕事をしていますか？昭は,['昭の職業は探偵 で、探偵事務所の所長をしている。 探偵事務所の所長は、探偵事務所の所長が探偵事務所の所長である場合と、探偵事務所の所長が探偵事務所の所長である場合とがある。 探偵事務所の所長は探偵事務所の所長が探偵事務所の所長である場合と探偵事務所の所長が探偵事務所の所長である場合と'],['昭の職種は陸軍大臣秘書官 で、昭は陸軍大臣秘書官として、陸軍大臣秘書官の職にあった。 昭は、陸軍大臣秘書官として、陸軍大臣秘書官の職にあった。 昭は、陸軍大臣秘書官として、陸軍大臣秘書官の職にあった。 昭は、陸軍大臣秘書官として、陸軍大臣秘書官の職にあった。 昭は、陸軍大臣'],['昭は何の仕事をしていますか?昭は何の仕事をしていますか? 昭は 何の仕事をしていますか? 昭は 何の仕事をしていますか? 昭は 何の仕事をしていますか? 昭は 何の仕事をしていますか? 昭は 何の仕事をしていますか? 昭は 何の']
26,和夫,1927,1920,和夫の職業は,和夫の職種は,和夫は何の仕事をしていますか？和夫は,['和夫の職業は警察官 。 和夫は、警察官として、事件を解決していく。 和夫は、警察官として、事件を解決していく。 和夫は、警察官として、事件を解決していく。 和夫は、警察官として、事件を解決していく。 和夫は、警察官として、事件を解決していく。 和夫は、警察官'],['和夫の職種は和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫は、和夫'],['和夫は何の仕事をしていますか?和夫は何の仕事をしていますか? 和夫は 何の仕事をしていますか? 和夫は 何の仕事をしていますか? 和夫は 何の仕事をしていますか? 和夫は 何の仕事をしていますか? 和夫は 何の仕事をしていますか']
27,昭一,1927,1920,昭一の職業は,昭一の職種は,昭一は何の仕事をしていますか？昭一は,['昭一の職業は探偵 で、探偵事務所の所長をしている。 探偵事務所の所長は、探偵事務所の所長が探偵事務所の所長である場合と、探偵事務所の所長が探偵事務所の所長である場合とがある。 探偵事務所の所長は探偵事務所の所長が探偵事務所の所長である場合と探偵事務所の所長が探偵事務所の所長である場合'],['昭一の職種は陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍経理学校(陸軍経理学校) 陸軍'],['昭一は何の仕事をしていますか?昭一は何を しているのですか? 昭一は 何を しているのですか? 昭一は 何を しているのですか? 昭一は 何を しているのですか? 昭一は 何を しているのですか? 昭一は 何を しているのですか']
28,昭三,1928,1920,昭三の職業は,昭三の職種は,昭三は何の仕事をしていますか？昭三は,['昭三の職業は大工 で、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟梁として、大工の棟'],['昭三の職種は陸軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍大臣秘書官 海軍'],['昭三は何の仕事をしていますか?昭三は何の仕事をしていますか? 昭三は 何の仕事をしていますか? 昭三は 何の仕事をしていますか? 昭三は 何の仕事をしていますか? 昭三は 何の仕事をしていますか? 昭三は 何の仕事をしていますか']
29,幸雄,1930,1930,幸雄の職業は,幸雄の職種は,幸雄は何の仕事をしていますか？幸雄は,['幸雄の職業は警察官。 警察官として、事件を解決していく。 幸雄は、警察官として、事件を解決していく。 幸雄は、警察官として、事件を解決していく。 幸雄は、警察官として、事件を解決していく。 幸雄は、警察官として、事件を解決していく。 幸雄は、警察官として、事件を'],['幸雄の職種は陸軍歩兵少尉 で、陸軍歩兵学校(現・陸上自衛隊)に在学中の1943年(昭和18年)に陸軍士官学校(現・陸軍士官学校)を首席で卒業。 陸軍歩兵学校卒業後は、陸軍航空士官学校(現・航空士官学校)で教官として航空兵教育に従事した。 陸軍航空士官学校卒業後は、陸軍航空士官学校教官として航空'],['幸雄は何の仕事をしていますか?幸雄は何をしていますか? 幸雄は 何をしていますか? 幸雄は 何をしていますか? 幸雄は 何をしていますか? 幸雄は 何をしていますか? 幸雄は 何をしていますか? 幸雄は ']
30,稔,1931,1930,稔の職業は,稔の職種は,稔は何の仕事をしていますか？稔は,['稔の職業は弁護士 。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長。 弁護士事務所の所長'],['稔の職種は陸軍の歩兵科(歩兵)の教官 陸軍の騎兵科(騎兵)の教官 陸軍の工兵科(工兵)の教官 陸軍の輜重兵科(輜重兵)の教官 陸軍の輜重兵科(輜重兵)の教官 陸軍の輜重兵科(輜重兵)の教官 陸軍の'],['稔は何の仕事をしていますか?稔は何を しているのですか? 稔は 何を しているのですか? 稔は 何を しているのですか? 稔は 何を しているのですか? 稔は 何を しているのですか? 稔は 何を しているのですか? 稔は 何を']
31,明,1933,1930,明の職業は,明の職種は,明は何の仕事をしていますか？明は,['明の職業は明の皇帝 である。 明の皇帝は、明の皇帝の臣下である。 明の皇帝は、明の皇帝の臣下である。 明の皇帝は、明の皇帝の臣下である。 明の皇帝は、明の皇帝の臣下である。 明の皇帝は、明の皇帝の臣下である。 明の'],['明の職種は明の職種一覧 を参照。 明の職種は 明の職種一覧 を参照。 明の職種は 明の職種一覧 を参照。 明の職種は 明の職種一覧 を参照。 明の職種は 明の職種一覧 を参照。 明の職種は 明の職種'],['明は何の仕事をしていますか?明は何の仕事をしていますか? 明は 何の仕事をしていますか? 明は 何の仕事をしていますか? 明は 何の仕事をしていますか? 明は 何の仕事をしていますか? 明は 何の仕事をしていますか? 明は 何の']
