,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
39,修,1945,1940,修の職業は,修の職種は,修は何の仕事をしていますか？修は,['修の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['修の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['修は何の仕事をしていますか？修は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
40,豊,1946,1940,豊の職業は,豊の職種は,豊は何の仕事をしていますか？豊は,['豊の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['豊の職種は、その職種である。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['豊は何の仕事をしていますか？豊は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
41,誠,1949,1940,誠の職業は,誠の職種は,誠は何の仕事をしていますか？誠は,['誠の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['誠の職種は、その言葉です。\n\nそれは、それでも、それでも、それでも、それでも、それでも、それでも、それでも、それでも、そ'],['誠は何の仕事をしていますか？誠は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
42,浩,1957,1950,浩の職業は,浩の職種は,浩は何の仕事をしていますか？浩は,['浩の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['浩の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは'],['浩は何の仕事をしていますか？浩は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
43,徹,1958,1950,徹の職業は,徹の職種は,徹は何の仕事をしていますか？徹は,['徹の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['徹の職種は、職種の職種を持つ、職種の職種を持つ、職種の職種を持つ、職種の�'],['徹は何の仕事をしていますか？徹は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、私は、�']
44,浩一,1960,1960,浩一の職業は,浩一の職種は,浩一は何の仕事をしていますか？浩一は,['浩一の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['浩一の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それ'],['浩一は何の仕事をしていますか？浩一は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
45,浩二,1960,1960,浩二の職業は,浩二の職種は,浩二は何の仕事をしていますか？浩二は,['浩二の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['浩二の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その'],['浩二は何の仕事をしていますか？浩二は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
46,浩之,1960,1960,浩之の職業は,浩之の職種は,浩之は何の仕事をしていますか？浩之は,['浩之の職業は、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、'],['浩之の職種は、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、'],['浩之は何の仕事をしていますか？浩之は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、私は']
47,聡,1960,1960,聡の職業は,聡の職種は,聡は何の仕事をしていますか？聡は,['聡の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['聡の職種は、その職種である。\n\nその職種は、その職種である。 その職種は、その職種である。 その�'],['聡は何の仕事をしていますか？聡は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
48,剛,1961,1960,剛の職業は,剛の職種は,剛は何の仕事をしていますか？剛は,['剛の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['剛の職種は、その職種です。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、それは、それは、'],['剛は何の仕事をしていますか？剛は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
49,和彦,1961,1960,和彦の職業は,和彦の職種は,和彦は何の仕事をしていますか？和彦は,['和彦の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の�'],['和彦の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の�'],['和彦は何の仕事をしていますか？和彦は何の仕事をしています。\n\n彼女は、彼女は彼女は彼女は彼女は彼女は彼女は彼女は彼']
50,秀樹,1962,1960,秀樹の職業は,秀樹の職種は,秀樹は何の仕事をしていますか？秀樹は,['秀樹の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の�'],['秀樹の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の�'],['秀樹は何の仕事をしていますか？秀樹は何の仕事をしています。\n\n秀樹は何の仕事をしています。\n\n秀樹は何の']
51,哲也,1963,1960,哲也の職業は,哲也の職種は,哲也は何の仕事をしていますか？哲也は,['哲也の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['哲也の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['哲也は何の仕事をしていますか？哲也は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
52,直樹,1963,1960,直樹の職業は,直樹の職種は,直樹は何の仕事をしていますか？直樹は,['直樹の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、そ'],['直樹の職種は、色細に持ち、色細に持ち、色細に持ち、色細に持ち、色細に持ち、�'],['直樹は何の仕事をしていますか？直樹は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、']
53,達也,1964,1960,達也の職業は,達也の職種は,達也は何の仕事をしていますか？達也は,['達也の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['達也の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['達也は何の仕事をしていますか？達也は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、そ']
54,学,1965,1960,学の職業は,学の職種は,学は何の仕事をしていますか？学は,['学の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その'],['学の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['学は何の仕事をしていますか？学は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、�']
55,健一,1966,1960,健一の職業は,健一の職種は,健一は何の仕事をしていますか？健一は,['健一の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職'],['健一の職種は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、�'],['健一は何の仕事をしていますか？健一は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、�']
56,淳,1968,1960,淳の職業は,淳の職種は,淳は何の仕事をしていますか？淳は,['淳の職業は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['淳の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['淳は何の仕事をしていますか？淳は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
57,健,1969,1960,健の職業は,健の職種は,健は何の仕事をしていますか？健は,['健の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['健の職種は、その職種は、その職種は、その職種は、その職種は、その職種は、その職種は、そ'],['健は何の仕事をしていますか？健は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
58,博之,1970,1970,博之の職業は,博之の職種は,博之は何の仕事をしていますか？博之は,['博之の職業は、職業は、職業は、職業は、職業は、職業は、職業は、職業は、職業は、職�'],['博之の職種は、職種の職種を持つ、職種の職種を持つ、職種の職種を持つ、職種の�'],['博之は何の仕事をしていますか？博之は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、私は']
59,英樹,1970,1970,英樹の職業は,英樹の職種は,英樹は何の仕事をしていますか？英樹は,['英樹の職業は、英樹の職業は、英樹の職業は、英樹の職業は、英樹の職業は、英�'],['英樹の職種は、英樹の職種は、英樹の職種は、英樹の職種は、英樹の職種は、英�'],['英樹は何の仕事をしていますか？英樹は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それ']
60,崇,1971,1970,崇の職業は,崇の職種は,崇は何の仕事をしていますか？崇は,['崇の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['崇の職種は、その言葉を持つ、その言葉を持つ、その言葉を持つ、その言葉を持つ、その�'],['崇は何の仕事をしていますか？崇は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、それは']
61,大輔,1973,1970,大輔の職業は,大輔の職種は,大輔は何の仕事をしていますか？大輔は,['大輔の職業は、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ'],"['大輔の職種は、英語版です。\n\nCopyright © 2017, Yūichi Nakamura. All rights reserved.\n\nCopyright © 2017, Yūichi Nakamura. All rights reserved.\n\nCopyright © 2017, Yūichi Nakamura. All rights reserved.\n\nCopyright © 2017, Yūichi Nak']",['大輔は何の仕事をしていますか？大輔は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、�']
62,大介,1974,1970,大介の職業は,大介の職種は,大介は何の仕事をしていますか？大介は,['大介の職業は、その職業は、その職業は、その職業は、その職業は、その職業は、その職業は、そ'],['大介の職種は、その職種ではない。\n\nその職種は、その職種ではない。\n\nその職種は、その職種ではない。'],['大介は何の仕事をしていますか？大介は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、私は']
63,亮,1975,1970,亮の職業は,亮の職種は,亮は何の仕事をしていますか？亮は,['亮の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職�'],['亮の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職種は、私の職�'],['亮は何の仕事をしていますか？亮は何の仕事をしています。\n\n今日は、今日は、今日は、今日は、今日は、今日は、今日は']
64,竜也,1976,1970,竜也の職業は,竜也の職種は,竜也は何の仕事をしていますか？竜也は,['竜也の職業は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['竜也の職種は、その言葉を持っている。\n\nそれは、それは、それは、それは、それは、それは、それは、それは、それは、そ'],['竜也は何の仕事をしていますか？竜也は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、�']
65,健太郎,1977,1970,健太郎の職業は,健太郎の職種は,健太郎は何の仕事をしていますか？健太郎は,['健太郎の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の'],['健太郎の職種は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は'],['健太郎は何の仕事をしていますか？健太郎は何の仕事をしています。\n\n健太郎は何の仕事をしています。\n\n健太郎']
66,洋平,1977,1970,洋平の職業は,洋平の職種は,洋平は何の仕事をしていますか？洋平は,['洋平の職業は、洋平の職業は、洋平の職業は、洋平の職業は、洋平の職業は、洋平の職�'],['洋平の職種は、洋平の職種は、洋平の職種は、洋平の職種は、洋平の職種は、洋平の職�'],['洋平は何の仕事をしていますか？洋平は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
67,健太,1981,1980,健太の職業は,健太の職種は,健太は何の仕事をしていますか？健太は,['健太の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の職業は、私の�'],['健太の職種は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、�'],['健太は何の仕事をしていますか？健太は何の仕事をしています。\n\nそれは、それは、それは、それは、それは、それは、それは、']
68,和也,1982,1980,和也の職業は,和也の職種は,和也は何の仕事をしていますか？和也は,['和也の職業は、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、私の言葉を持�'],['和也の職種は、私の言葉を持つ、私の言葉を持つ、私の言葉を持つ、私の言葉を持�'],['和也は何の仕事をしていますか？和也は何の仕事をしています。\n\n私は、私は、私は、私は、私は、私は、私は、']
